dataset,feature_set,balancing,classifier,accuracy,precision,recall,f1,auc,mcc
ant-1.3,METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,SVM_RBF,0.8160000000000001,0.4966666666666667,0.75,0.5788156288156288,0.8023809523809524,0.5037867082684513
ant-1.3,METRICS_POST_TFIDF_RISK_SELECTED,BLSMOTE,SVM_RBF,0.8,0.4666666666666667,0.8,0.5698412698412698,0.7714285714285715,0.5032608956112588
ant-1.3,RISK_FEATURES,SMOTE,SVM_RBF,0.784,0.44761904761904764,0.85,0.5676767676767677,0.8047619047619048,0.5071587541771457
ant-1.3,POST_TFIDF,BLSMOTE,LR,0.784,0.43939393939393934,0.85,0.5622222222222222,0.7976190476190477,0.5020515540560296
ant-1.3,RISK_FEATURES,BLSMOTE,LR,0.776,0.44249084249084253,0.85,0.5617944147355912,0.7916666666666667,0.5001701885989996
camel-1.0,METRICS,BLSMOTE,GB,0.9467954345917471,0.36666666666666664,0.3,0.32666666666666666,0.6106759906759907,0.30322050590882516
camel-1.0,METRICS_RISK,BLSMOTE,RF,0.9467515364354698,0.5,0.2333333333333333,0.31333333333333335,0.7054079254079253,0.3139422340794258
camel-1.0,METRICS,BLSMOTE,RF,0.9557067603160668,0.4666666666666666,0.2333333333333333,0.3,0.714988344988345,0.3032053014367687
camel-1.0,METRICS,SMOTE,RF,0.9409130816505706,0.45,0.2333333333333333,0.29047619047619044,0.7012587412587412,0.28615292648342916
camel-1.0,METRICS_RISK,BLSMOTE,GB,0.9438981562774365,0.44000000000000006,0.2333333333333333,0.2833333333333333,0.6342191142191143,0.2817898595885956
jedit-3.2,METRICS_RISK,BLSMOTE,LR,0.7976430976430977,0.668495514147688,0.788888888888889,0.7219095267875756,0.8434434434434435,0.571711354231615
jedit-3.2,METRICS,BLSMOTE,LR,0.7868013468013468,0.6556725146198831,0.788888888888889,0.7130393551446182,0.8404738071404738,0.5560384315353509
jedit-3.2,METRICS_RISK,SMOTE,LR,0.7942087542087541,0.6743230358504958,0.7555555555555555,0.7091874790583542,0.8413580246913579,0.5570494693533273
jedit-3.2,METRICS_POST_TFIDF_RISK,SMOTE,LR,0.7942087542087541,0.6756313131313132,0.7444444444444445,0.7051633986928104,0.8446363029696362,0.5529802712506154
jedit-3.2,METRICS_POST_TFIDF_RISK,BLSMOTE,LR,0.7903030303030303,0.665798319327731,0.7555555555555555,0.7051103608753547,0.8494411077744412,0.5495008097604179
log4j-1.0,RISK_FEATURES,SMOTE,ET,0.7777777777777778,0.6063203463203463,0.7619047619047619,0.645909645909646,0.8138888888888889,0.5283923974391445
log4j-1.0,RISK_FEATURES,SMOTE,GB,0.7777777777777778,0.6063203463203463,0.7619047619047619,0.645909645909646,0.8054761904761906,0.5283923974391445
log4j-1.0,RISK_FEATURES,SMOTE,RF,0.7703703703703704,0.5957142857142858,0.7619047619047619,0.6377225114067219,0.7896825396825397,0.5179787493898388
log4j-1.0,POST_TFIDF,SMOTE,LR,0.7851851851851851,0.5845238095238096,0.7285714285714285,0.6350491613649508,0.7935714285714286,0.5071334420960816
