dataset,feature_set,balancing,classifier,fold,accuracy,precision,recall,f1,auc,mcc
ant-1.3,METRICS,NONE,LR,1,0.88,1.0,0.25,0.4,0.75,0.46770717334674267
ant-1.3,METRICS,NONE,LR,2,0.84,0.5,0.25,0.3333333333333333,0.6785714285714286,0.27348301713730944
ant-1.3,METRICS,NONE,LR,3,0.8,0.3333333333333333,0.25,0.2857142857142857,0.8809523809523809,0.17459497553883238
ant-1.3,METRICS,NONE,LR,4,0.84,0.5,0.25,0.3333333333333333,0.7142857142857142,0.27348301713730944
ant-1.3,METRICS,NONE,LR,5,0.76,0.25,0.25,0.25,0.7380952380952381,0.10714285714285714
ant-1.3,METRICS,NONE,RF,1,0.8,0.0,0.0,0.0,0.8928571428571429,-0.0890870806374748
ant-1.3,METRICS,NONE,RF,2,0.84,0.5,0.25,0.3333333333333333,0.6726190476190477,0.27348301713730944
ant-1.3,METRICS,NONE,RF,3,0.84,0.5,0.25,0.3333333333333333,0.6547619047619048,0.27348301713730944
ant-1.3,METRICS,NONE,RF,4,0.68,0.0,0.0,0.0,0.7738095238095237,-0.19047619047619047
ant-1.3,METRICS,NONE,RF,5,0.8,0.3333333333333333,0.25,0.2857142857142857,0.8809523809523809,0.17459497553883238
ant-1.3,METRICS,NONE,ET,1,0.88,1.0,0.25,0.4,0.8273809523809523,0.46770717334674267
ant-1.3,METRICS,NONE,ET,2,0.84,0.5,0.25,0.3333333333333333,0.7440476190476191,0.27348301713730944
ant-1.3,METRICS,NONE,ET,3,0.84,0.5,0.25,0.3333333333333333,0.6011904761904763,0.27348301713730944
ant-1.3,METRICS,NONE,ET,4,0.76,0.0,0.0,0.0,0.7857142857142857,-0.12869789041755736
ant-1.3,METRICS,NONE,ET,5,0.92,0.75,0.75,0.75,0.886904761904762,0.7023809523809523
ant-1.3,METRICS,NONE,SVM_RBF,1,0.84,0.0,0.0,0.0,0.8214285714285714,0.0
ant-1.3,METRICS,NONE,SVM_RBF,2,0.84,0.0,0.0,0.0,0.6428571428571428,0.0
ant-1.3,METRICS,NONE,SVM_RBF,3,0.84,0.0,0.0,0.0,0.7023809523809526,0.0
ant-1.3,METRICS,NONE,SVM_RBF,4,0.84,0.0,0.0,0.0,0.6666666666666667,0.0
ant-1.3,METRICS,NONE,SVM_RBF,5,0.84,0.0,0.0,0.0,0.7142857142857143,0.0
ant-1.3,METRICS,NONE,GB,1,0.8,0.3333333333333333,0.25,0.2857142857142857,0.880952380952381,0.17459497553883238
ant-1.3,METRICS,NONE,GB,2,0.76,0.25,0.25,0.25,0.6130952380952381,0.10714285714285714
ant-1.3,METRICS,NONE,GB,3,0.8,0.0,0.0,0.0,0.6071428571428571,-0.0890870806374748
ant-1.3,METRICS,NONE,GB,4,0.8,0.3333333333333333,0.25,0.2857142857142857,0.7857142857142857,0.17459497553883238
ant-1.3,METRICS,NONE,GB,5,0.72,0.0,0.0,0.0,0.7738095238095238,-0.16116459280507606
ant-1.3,METRICS,SMOTE,LR,1,0.72,0.2,0.25,0.2222222222222222,0.5952380952380952,0.0545544725589981
ant-1.3,METRICS,SMOTE,LR,2,0.84,0.5,0.5,0.5,0.6071428571428572,0.40476190476190477
ant-1.3,METRICS,SMOTE,LR,3,0.84,0.5,0.75,0.6,0.8452380952380953,0.521168438562221
ant-1.3,METRICS,SMOTE,LR,4,0.64,0.14285714285714285,0.25,0.18181818181818182,0.6071428571428571,-0.029160592175990215
ant-1.3,METRICS,SMOTE,LR,5,0.68,0.3,0.75,0.42857142857142855,0.6904761904761905,0.31180478223116176
ant-1.3,METRICS,SMOTE,RF,1,0.84,0.5,0.25,0.3333333333333333,0.8452380952380952,0.27348301713730944
ant-1.3,METRICS,SMOTE,RF,2,0.8,0.4,0.5,0.4444444444444444,0.6071428571428572,0.3273268353539886
ant-1.3,METRICS,SMOTE,RF,3,0.84,0.5,0.5,0.5,0.6190476190476191,0.40476190476190477
ant-1.3,METRICS,SMOTE,RF,4,0.76,0.375,0.75,0.5,0.8273809523809523,0.40230863885375184
ant-1.3,METRICS,SMOTE,RF,5,0.92,0.75,0.75,0.75,0.8809523809523809,0.7023809523809523
ant-1.3,METRICS,SMOTE,ET,1,0.84,0.5,0.5,0.5,0.7976190476190476,0.40476190476190477
ant-1.3,METRICS,SMOTE,ET,2,0.84,0.5,0.5,0.5,0.7321428571428572,0.40476190476190477
ant-1.3,METRICS,SMOTE,ET,3,0.84,0.5,0.5,0.5,0.6130952380952381,0.40476190476190477
ant-1.3,METRICS,SMOTE,ET,4,0.68,0.16666666666666666,0.25,0.2,0.7738095238095238,0.010218988991416097
ant-1.3,METRICS,SMOTE,ET,5,0.88,0.6666666666666666,0.5,0.5714285714285714,0.8928571428571428,0.5103545438827408
ant-1.3,METRICS,SMOTE,SVM_RBF,1,0.72,0.0,0.0,0.0,0.6547619047619048,-0.16116459280507606
ant-1.3,METRICS,SMOTE,SVM_RBF,2,0.84,0.5,0.25,0.3333333333333333,0.6428571428571428,0.27348301713730944
ant-1.3,METRICS,SMOTE,SVM_RBF,3,0.8,0.4,0.5,0.4444444444444444,0.7857142857142857,0.3273268353539886
ant-1.3,METRICS,SMOTE,SVM_RBF,4,0.76,0.375,0.75,0.5,0.8333333333333334,0.40230863885375184
ant-1.3,METRICS,SMOTE,SVM_RBF,5,0.68,0.16666666666666666,0.25,0.2,0.6904761904761905,0.010218988991416097
ant-1.3,METRICS,SMOTE,GB,1,0.64,0.0,0.0,0.0,0.6071428571428572,-0.2182178902359924
ant-1.3,METRICS,SMOTE,GB,2,0.76,0.25,0.25,0.25,0.6488095238095238,0.10714285714285714
ant-1.3,METRICS,SMOTE,GB,3,0.84,0.5,0.5,0.5,0.7857142857142856,0.40476190476190477
ant-1.3,METRICS,SMOTE,GB,4,0.84,0.5,0.75,0.6,0.8333333333333334,0.521168438562221
ant-1.3,METRICS,SMOTE,GB,5,0.84,0.5,0.75,0.6,0.75,0.521168438562221
ant-1.3,METRICS,BLSMOTE,LR,1,0.84,0.5,0.25,0.3333333333333333,0.5833333333333334,0.27348301713730944
ant-1.3,METRICS,BLSMOTE,LR,2,0.84,0.5,0.5,0.5,0.5952380952380953,0.40476190476190477
ant-1.3,METRICS,BLSMOTE,LR,3,0.84,0.5,0.75,0.6,0.8809523809523809,0.521168438562221
ant-1.3,METRICS,BLSMOTE,LR,4,0.72,0.2,0.25,0.2222222222222222,0.7500000000000001,0.0545544725589981
ant-1.3,METRICS,BLSMOTE,LR,5,0.68,0.3,0.75,0.42857142857142855,0.6785714285714286,0.31180478223116176
ant-1.3,METRICS,BLSMOTE,RF,1,0.8,0.0,0.0,0.0,0.8690476190476191,-0.0890870806374748
ant-1.3,METRICS,BLSMOTE,RF,2,0.76,0.25,0.25,0.25,0.6428571428571429,0.10714285714285714
ant-1.3,METRICS,BLSMOTE,RF,3,0.88,0.6666666666666666,0.5,0.5714285714285714,0.6726190476190477,0.5103545438827408
ant-1.3,METRICS,BLSMOTE,RF,4,0.76,0.3333333333333333,0.5,0.4,0.8035714285714286,0.26569371377681855
ant-1.3,METRICS,BLSMOTE,RF,5,0.84,0.5,0.5,0.5,0.8809523809523809,0.40476190476190477
ant-1.3,METRICS,BLSMOTE,ET,1,0.8,0.3333333333333333,0.25,0.2857142857142857,0.8571428571428571,0.17459497553883238
ant-1.3,METRICS,BLSMOTE,ET,2,0.8,0.4,0.5,0.4444444444444444,0.6845238095238095,0.3273268353539886
ant-1.3,METRICS,BLSMOTE,ET,3,0.84,0.5,0.25,0.3333333333333333,0.6785714285714286,0.27348301713730944
ant-1.3,METRICS,BLSMOTE,ET,4,0.72,0.2,0.25,0.2222222222222222,0.7678571428571429,0.0545544725589981
ant-1.3,METRICS,BLSMOTE,ET,5,0.88,0.6,0.75,0.6666666666666666,0.9047619047619048,0.600099198148979
ant-1.3,METRICS,BLSMOTE,SVM_RBF,1,0.8,0.0,0.0,0.0,0.7738095238095238,-0.0890870806374748
ant-1.3,METRICS,BLSMOTE,SVM_RBF,2,0.88,0.6666666666666666,0.5,0.5714285714285714,0.6309523809523809,0.5103545438827408
ant-1.3,METRICS,BLSMOTE,SVM_RBF,3,0.8,0.4,0.5,0.4444444444444444,0.7857142857142857,0.3273268353539886
ant-1.3,METRICS,BLSMOTE,SVM_RBF,4,0.76,0.3333333333333333,0.5,0.4,0.8333333333333333,0.26569371377681855
ant-1.3,METRICS,BLSMOTE,SVM_RBF,5,0.64,0.14285714285714285,0.25,0.18181818181818182,0.7142857142857142,-0.029160592175990215
ant-1.3,METRICS,BLSMOTE,GB,1,0.76,0.25,0.25,0.25,0.8571428571428572,0.10714285714285714
ant-1.3,METRICS,BLSMOTE,GB,2,0.76,0.25,0.25,0.25,0.6190476190476191,0.10714285714285714
ant-1.3,METRICS,BLSMOTE,GB,3,0.84,0.5,0.25,0.3333333333333333,0.7976190476190476,0.27348301713730944
ant-1.3,METRICS,BLSMOTE,GB,4,0.84,0.5,0.5,0.5,0.8452380952380951,0.40476190476190477
ant-1.3,METRICS,BLSMOTE,GB,5,0.76,0.3333333333333333,0.5,0.4,0.7976190476190476,0.26569371377681855
ant-1.3,POST_TFIDF,NONE,LR,1,0.84,0.0,0.0,0.0,0.9404761904761905,0.0
ant-1.3,POST_TFIDF,NONE,LR,2,0.84,0.0,0.0,0.0,0.7142857142857143,0.0
ant-1.3,POST_TFIDF,NONE,LR,3,0.84,0.0,0.0,0.0,0.6785714285714286,0.0
ant-1.3,POST_TFIDF,NONE,LR,4,0.84,0.0,0.0,0.0,0.8095238095238095,0.0
ant-1.3,POST_TFIDF,NONE,LR,5,0.84,0.0,0.0,0.0,0.8214285714285714,0.0
ant-1.3,POST_TFIDF,NONE,RF,1,0.84,0.0,0.0,0.0,0.8452380952380952,0.0
ant-1.3,POST_TFIDF,NONE,RF,2,0.84,0.0,0.0,0.0,0.75,0.0
ant-1.3,POST_TFIDF,NONE,RF,3,0.84,0.0,0.0,0.0,0.6785714285714286,0.0
ant-1.3,POST_TFIDF,NONE,RF,4,0.84,0.0,0.0,0.0,0.8214285714285715,0.0
ant-1.3,POST_TFIDF,NONE,RF,5,0.8,0.0,0.0,0.0,0.8333333333333334,-0.0890870806374748
ant-1.3,POST_TFIDF,NONE,ET,1,0.84,0.0,0.0,0.0,0.9166666666666666,0.0
ant-1.3,POST_TFIDF,NONE,ET,2,0.84,0.0,0.0,0.0,0.7857142857142856,0.0
ant-1.3,POST_TFIDF,NONE,ET,3,0.84,0.0,0.0,0.0,0.6547619047619048,0.0
ant-1.3,POST_TFIDF,NONE,ET,4,0.84,0.0,0.0,0.0,0.8214285714285714,0.0
ant-1.3,POST_TFIDF,NONE,ET,5,0.8,0.0,0.0,0.0,0.7678571428571429,-0.0890870806374748
ant-1.3,POST_TFIDF,NONE,SVM_RBF,1,0.84,0.0,0.0,0.0,0.738095238095238,0.0
ant-1.3,POST_TFIDF,NONE,SVM_RBF,2,0.84,0.0,0.0,0.0,0.40476190476190477,0.0
ant-1.3,POST_TFIDF,NONE,SVM_RBF,3,0.84,0.0,0.0,0.0,0.5238095238095238,0.0
ant-1.3,POST_TFIDF,NONE,SVM_RBF,4,0.84,0.0,0.0,0.0,0.6785714285714286,0.0
ant-1.3,POST_TFIDF,NONE,SVM_RBF,5,0.84,0.0,0.0,0.0,0.7619047619047619,0.0
ant-1.3,POST_TFIDF,NONE,GB,1,0.72,0.0,0.0,0.0,0.7261904761904762,-0.16116459280507606
ant-1.3,POST_TFIDF,NONE,GB,2,0.8,0.3333333333333333,0.25,0.2857142857142857,0.7023809523809524,0.17459497553883238
ant-1.3,POST_TFIDF,NONE,GB,3,0.84,0.0,0.0,0.0,0.5059523809523809,0.0
ant-1.3,POST_TFIDF,NONE,GB,4,0.8,0.0,0.0,0.0,0.630952380952381,-0.0890870806374748
ant-1.3,POST_TFIDF,NONE,GB,5,0.84,0.5,0.25,0.3333333333333333,0.761904761904762,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,LR,1,0.84,0.5,1.0,0.6666666666666666,0.9642857142857143,0.6362090102803518
ant-1.3,POST_TFIDF,SMOTE,LR,2,0.84,0.5,0.75,0.6,0.7142857142857143,0.521168438562221
ant-1.3,POST_TFIDF,SMOTE,LR,3,0.8,0.4,0.5,0.4444444444444444,0.6785714285714286,0.3273268353539886
ant-1.3,POST_TFIDF,SMOTE,LR,4,0.76,0.4,1.0,0.5714285714285714,0.8095238095238095,0.5345224838248488
ant-1.3,POST_TFIDF,SMOTE,LR,5,0.68,0.3333333333333333,1.0,0.5,0.8214285714285714,0.45425676257949793
ant-1.3,POST_TFIDF,SMOTE,RF,1,0.8,0.3333333333333333,0.25,0.2857142857142857,0.8571428571428572,0.17459497553883238
ant-1.3,POST_TFIDF,SMOTE,RF,2,0.8,0.0,0.0,0.0,0.75,-0.0890870806374748
ant-1.3,POST_TFIDF,SMOTE,RF,3,0.84,0.5,0.25,0.3333333333333333,0.6904761904761905,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,RF,4,0.72,0.2,0.25,0.2222222222222222,0.8214285714285715,0.0545544725589981
ant-1.3,POST_TFIDF,SMOTE,RF,5,0.8,0.42857142857142855,0.75,0.5454545454545454,0.7738095238095238,0.45684927742384673
ant-1.3,POST_TFIDF,SMOTE,ET,1,0.84,0.5,0.25,0.3333333333333333,0.9047619047619048,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,ET,2,0.84,0.5,0.25,0.3333333333333333,0.7857142857142858,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,ET,3,0.84,0.5,0.25,0.3333333333333333,0.6547619047619048,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,ET,4,0.72,0.2,0.25,0.2222222222222222,0.8214285714285714,0.0545544725589981
ant-1.3,POST_TFIDF,SMOTE,ET,5,0.68,0.16666666666666666,0.25,0.2,0.7857142857142858,0.010218988991416097
ant-1.3,POST_TFIDF,SMOTE,SVM_RBF,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9642857142857143,0.6998542122237652
ant-1.3,POST_TFIDF,SMOTE,SVM_RBF,2,0.84,0.5,0.5,0.5,0.6785714285714287,0.40476190476190477
ant-1.3,POST_TFIDF,SMOTE,SVM_RBF,3,0.8,0.4,0.5,0.4444444444444444,0.5714285714285714,0.3273268353539886
ant-1.3,POST_TFIDF,SMOTE,SVM_RBF,4,0.72,0.2857142857142857,0.5,0.36363636363636365,0.7857142857142857,0.21384434262392824
ant-1.3,POST_TFIDF,SMOTE,SVM_RBF,5,0.76,0.4,1.0,0.5714285714285714,0.8095238095238095,0.5345224838248488
ant-1.3,POST_TFIDF,SMOTE,GB,1,0.88,0.6,0.75,0.6666666666666666,0.9166666666666666,0.600099198148979
ant-1.3,POST_TFIDF,SMOTE,GB,2,0.84,0.5,0.25,0.3333333333333333,0.6785714285714286,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,GB,3,0.84,0.5,0.25,0.3333333333333333,0.4880952380952381,0.27348301713730944
ant-1.3,POST_TFIDF,SMOTE,GB,4,0.8,0.3333333333333333,0.25,0.2857142857142857,0.8571428571428571,0.17459497553883238
ant-1.3,POST_TFIDF,SMOTE,GB,5,0.76,0.375,0.75,0.5,0.7738095238095238,0.40230863885375184
ant-1.3,POST_TFIDF,BLSMOTE,LR,1,0.84,0.5,1.0,0.6666666666666666,0.9523809523809523,0.6362090102803518
ant-1.3,POST_TFIDF,BLSMOTE,LR,2,0.88,0.6,0.75,0.6666666666666666,0.7142857142857143,0.600099198148979
ant-1.3,POST_TFIDF,BLSMOTE,LR,3,0.8,0.4,0.5,0.4444444444444444,0.6904761904761905,0.3273268353539886
ant-1.3,POST_TFIDF,BLSMOTE,LR,4,0.72,0.36363636363636365,1.0,0.5333333333333333,0.8095238095238095,0.4923659639173309
ant-1.3,POST_TFIDF,BLSMOTE,LR,5,0.68,0.3333333333333333,1.0,0.5,0.8214285714285714,0.45425676257949793
ant-1.3,POST_TFIDF,BLSMOTE,RF,1,0.8,0.3333333333333333,0.25,0.2857142857142857,0.8928571428571429,0.17459497553883238
ant-1.3,POST_TFIDF,BLSMOTE,RF,2,0.8,0.0,0.0,0.0,0.8095238095238095,-0.0890870806374748
ant-1.3,POST_TFIDF,BLSMOTE,RF,3,0.8,0.3333333333333333,0.25,0.2857142857142857,0.6785714285714286,0.17459497553883238
ant-1.3,POST_TFIDF,BLSMOTE,RF,4,0.68,0.16666666666666666,0.25,0.2,0.8214285714285715,0.010218988991416097
ant-1.3,POST_TFIDF,BLSMOTE,RF,5,0.72,0.2857142857142857,0.5,0.36363636363636365,0.7857142857142857,0.21384434262392824
ant-1.3,POST_TFIDF,BLSMOTE,ET,1,0.84,0.5,0.25,0.3333333333333333,0.9166666666666667,0.27348301713730944
ant-1.3,POST_TFIDF,BLSMOTE,ET,2,0.84,0.0,0.0,0.0,0.8095238095238095,0.0
ant-1.3,POST_TFIDF,BLSMOTE,ET,3,0.8,0.3333333333333333,0.25,0.2857142857142857,0.6666666666666666,0.17459497553883238
ant-1.3,POST_TFIDF,BLSMOTE,ET,4,0.72,0.2,0.25,0.2222222222222222,0.8214285714285714,0.0545544725589981
ant-1.3,POST_TFIDF,BLSMOTE,ET,5,0.72,0.2,0.25,0.2222222222222222,0.8095238095238095,0.0545544725589981
ant-1.3,POST_TFIDF,BLSMOTE,SVM_RBF,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9523809523809523,0.6998542122237652
ant-1.3,POST_TFIDF,BLSMOTE,SVM_RBF,2,0.84,0.5,0.5,0.5,0.7261904761904763,0.40476190476190477
ant-1.3,POST_TFIDF,BLSMOTE,SVM_RBF,3,0.8,0.4,0.5,0.4444444444444444,0.5714285714285715,0.3273268353539886
ant-1.3,POST_TFIDF,BLSMOTE,SVM_RBF,4,0.76,0.375,0.75,0.5,0.8214285714285715,0.40230863885375184
ant-1.3,POST_TFIDF,BLSMOTE,SVM_RBF,5,0.76,0.4,1.0,0.5714285714285714,0.7976190476190477,0.5345224838248488
ant-1.3,POST_TFIDF,BLSMOTE,GB,1,0.88,0.6,0.75,0.6666666666666666,0.8333333333333334,0.600099198148979
ant-1.3,POST_TFIDF,BLSMOTE,GB,2,0.84,0.5,0.25,0.3333333333333333,0.7023809523809524,0.27348301713730944
ant-1.3,POST_TFIDF,BLSMOTE,GB,3,0.88,1.0,0.25,0.4,0.5357142857142858,0.46770717334674267
