feature_set,balancing,classifier,accuracy,precision,recall,f1,auc,mcc
METRICS,SMOTE,RF,0.7969000318135545,0.5693800866381775,0.5632648837349382,0.547851038509464,0.7857958793765859,0.3869359742238147
METRICS_RISK,BLSMOTE,RF,0.806804383380222,0.5939883900582177,0.5438667148540106,0.5465712008221019,0.7843761895805915,0.3968068722710869
METRICS,BLSMOTE,GB,0.7907373857536436,0.5536350353947722,0.5594801895019681,0.5408567123228848,0.7644204399638196,0.37621616545483877
POST_TFIDF,SMOTE,LR,0.7316188034694044,0.4806099017147588,0.7167091265258234,0.5402522300542518,0.7650493245909412,0.3717705312818857
POST_TFIDF,SMOTE,SVM_RBF,0.7427780284397021,0.48531929009395525,0.6659092192340832,0.5356131969028877,0.7429798309267384,0.3564371383132844
METRICS,BLSMOTE,RF,0.8034499088923064,0.5820060497147359,0.537175517162813,0.5355034316448246,0.7909147597874566,0.3872551435832663
METRICS_RISK,SMOTE,RF,0.7997704357060603,0.5701830611543164,0.5357453036981168,0.5325161598340276,0.7892503873850978,0.37662572270270744
METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,SVM_RBF,0.7553775766261556,0.49357266204374406,0.6282752335383914,0.5305832640564068,0.7639769957340617,0.3582551977495184
POST_TFIDF,BLSMOTE,LR,0.7233913939103179,0.4751652106433108,0.6996866487011678,0.5275948120461483,0.7604159983741161,0.3620637952869181
POST_TFIDF,BLSMOTE,SVM_RBF,0.7341415612287128,0.4822728265717793,0.6575714076204094,0.5258525864822708,0.7418697728167942,0.35407486928808246
METRICS,SMOTE,ET,0.794197149229824,0.5334278695224872,0.5438885589103375,0.5257595269607088,0.7725206817150984,0.35620430878038084
METRICS_POST_TFIDF_RISK_SELECTED,BLSMOTE,SVM_RBF,0.7483730076467374,0.4945788760886177,0.6149539889430996,0.5243890082216951,0.7468699919804986,0.3519398017750948
METRICS,BLSMOTE,ET,0.7963993602220737,0.5504595299099816,0.5273186728576928,0.5210490984846876,0.7805443446422072,0.3622844504208805
METRICS_POST_TFIDF_RISK_SELECTED,BLSMOTE,ET,0.7968736992120157,0.5414977044612688,0.5161762006898123,0.5164450944849698,0.757060881027472,0.34894683304166974
METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,RF,0.7928769447780013,0.5294702128391677,0.515844310357922,0.5119242330690169,0.7697959504283287,0.3462370966627175
METRICS_RISK,BLSMOTE,GB,0.7848565820408612,0.5206542052648968,0.5282690503688688,0.5103231978928143,0.7588796516379916,0.33992800025572256
METRICS_POST_TFIDF_RISK,SMOTE,SVM_RBF,0.7665184188772054,0.48628877343520416,0.5742138680033417,0.509763761721767,0.7499315142766588,0.3338829914434196
METRICS_RISK,SMOTE,SVM_RBF,0.7670225198306047,0.48634238734887497,0.5738242576137312,0.5095612128464242,0.749640187957619,0.33443168542703655
METRICS_POST_TFIDF_RISK_SELECTED,SMOTE,LR,0.73095231863613,0.477602307492521,0.62655441634389,0.5081594958015743,0.7493276162492181,0.329704804523195
METRICS_RISK,SMOTE,ET,0.7963750613569108,0.5166894421030634,0.5177184078273007,0.507421933299328,0.7675655066974408,0.3405954761407073
METRICS_POST_TFIDF_RISK,BLSMOTE,RF,0.8042839081281573,0.5117961619990549,0.5166076581212697,0.5066791103245792,0.7785964847418468,0.3466361292205169
METRICS,BLSMOTE,LR,0.7372930304041305,0.47706296410478155,0.6064397592727901,0.5058028992615089,0.7451154180847426,0.3235904250475985
RISK_FEATURES,SMOTE,LR,0.6958793381915994,0.4604851843200165,0.6814328192477013,0.5039617377840606,0.7246240754353113,0.32799274451333843
METRICS,SMOTE,GB,0.7748022444470384,0.5077579364850544,0.5290216135951163,0.50208966050887,0.757387796273171,0.32789364080042716
METRICS,SMOTE,LR,0.7306449887630115,0.46937996472768845,0.6058454050486719,0.5013548457999976,0.7341786012293064,0.31468487488824964
METRICS,SMOTE,SVM_RBF,0.7581899199237848,0.4681350778935186,0.5884961620351821,0.49989591855549287,0.7568866665276042,0.3260516978557087
RISK_FEATURES,SMOTE,GB,0.7207853737341802,0.4674923033717439,0.6202175370505679,0.49967418072649267,0.714087268137271,0.3130609711817731
METRICS_RISK,SMOTE,GB,0.7882064185229452,0.4926108011319229,0.5269658210311569,0.49960464965805784,0.7611800852067769,0.3336497296678688
METRICS_POST_TFIDF_RISK_SELECTED,BLSMOTE,RF,0.7907510000212342,0.5246803910350724,0.5052412352720883,0.49905353396249497,0.7639245207632581,0.333263717731543
METRICS_POST_TFIDF_RISK,SMOTE,LR,0.7466068861504767,0.4745025454351916,0.5828897766883248,0.4987397608056703,0.7393685618321991,0.31961929242592535
METRICS_RISK,BLSMOTE,ET,0.7934250842977784,0.5143321537989548,0.5038404789402974,0.49800119229096756,0.7657701493175431,0.32806321972948643
RISK_FEATURES,SMOTE,SVM_RBF,0.6927155549061209,0.4526186814622393,0.6655234533564842,0.497868498423095,0.6988041064544599,0.30820915399535287
METRICS_RISK,SMOTE,LR,0.7379693509811586,0.47181802133470513,0.5948279266609575,0.49772593543335397,0.7377064272907187,0.3150440353064299
METRICS_POST_TFIDF_RISK,SMOTE,ET,0.8022710030948774,0.5243973150868462,0.49467914823631703,0.49699219402034905,0.7587458662077046,0.3336805015109007
RISK_FEATURES,SMOTE,ET,0.7203960952481401,0.4727550984822064,0.6082739136241859,0.49489643798537913,0.7081909816368342,0.3115355573994101
METRICS_POST_TFIDF_RISK_SELECTED,BLSMOTE,LR,0.731667637398355,0.4697636880985858,0.5871265048724214,0.4948412220529122,0.7385577334012702,0.3128060662811223
RISK_FEATURES,SMOTE,RF,0.7156997212558818,0.46187585265684505,0.6175004648507371,0.49463909139638607,0.7101769311832865,0.30474411269265467
METRICS_POST_TFIDF_RISK,BLSMOTE,SVM_RBF,0.7636465099343984,0.4930335661522773,0.5368478432235237,0.49463662403983283,0.7549671774440861,0.32845890533084526
METRICS_POST_TFIDF_RISK,BLSMOTE,ET,0.8007988859800278,0.5146801920159736,0.49409473265190146,0.49109381611237374,0.7612011395499704,0.32690662390490977
